realqcTrainRealqcValid #inference,realqcTrainRealqcValid accu,clsTrainClsValid #inference,clsTrainClsValid accu
4900,16.66666603088379,4900,27.66666603088379
9800,28.0,9800,41.0
14700,31.0,14700,46.66666793823242
19600,36.66666793823242,19600,50.33333206176758
24500,47.33333206176758,24500,54.0
29400,49.33333206176758,29400,53.33333206176758
34300,46.66666793823242,34300,51.66666793823242
39200,45.66666793823242,39200,61.33333206176758
44100,49.33333206176758,44100,68.0
49000,54.0,49000,70.33333587646484
53900,56.66666793823242,53900,71.66666412353516
58800,58.33333206176758,58800,75.33333587646484
63700,59.66666793823242,63700,75.0
68600,61.33333206176758,68600,72.0
73500,64.33333587646484,73500,72.66666412353516
78400,63.66666793823242,78400,73.33333587646484
83300,61.66666793823242,83300,73.33333587646484
88200,62.66666793823242,,
